x,y,z,area
100.0,0.0,3.0,49.0
-78.08187559054112,71.52939415696922,3.0,49.0
9.471120177670652,-107.918529427023,3.0,49.0
67.05373921904628,87.4597288798114,3.0,49.0
-110.07630824808253,-19.47094900915633,3.0,49.0
95.49298164554817,-60.74481830599018,3.0,49.0
-29.70749587309036,110.51040389136121,3.0,49.0
-53.27635319481516,-102.58037613563562,3.0,49.0
109.58748457114712,40.02117360197857,3.0,49.0
-108.77483088639778,44.90066894343892,3.0,49.0
50.282503312442465,-107.45078894710863,3.0,49.0
35.77741042137517,114.06402214474895,3.0,49.0
-104.18217083891935,-60.37569751643058,3.0,49.0
118.41794748024843,-26.03385356507943,3.0,49.0
-70.19335492379305,99.84282424938966,3.0,49.0
-15.783910800043392,-121.80335027849598,3.0,49.0
94.48784920941931,79.6344593454612,3.0,49.0
-124.18949113756561,5.135625357056177,3.0,49.0
88.6036767879269,-88.17249264742709,3.0,49.0
-5.805574578086998,125.55090280512246,3.0,49.0
-80.9550829612382,-97.0112455034507,3.0,49.0
125.86887409851191,16.93547898681467,3.0,49.0
-104.77315961117993,72.89843549696225,3.0,49.0
28.150616388709548,-125.13231221651432,3.0,49.0
64.07046309638687,111.8115011250816,3.0,49.0
-123.33825785063677,-39.348268269560364,3.0,49.0
118.05484235469014,-54.54433151263614,3.0,49.0
-50.42676648228982,120.49218057242784,3.0,49.0
-44.39833187720739,-123.43867300553262,3.0,49.0
116.60811836936442,61.28595893857469,3.0,49.0
-127.90582324213503,33.71556452289362,3.0,49.0
71.82777637910607,-111.70869553291362,3.0,49.0
22.583489667182903,131.40686348981177,3.0,49.0
-105.82503848106779,-81.95685796611015,3.0,49.0
133.9004674547033,-11.093380022800199,3.0,49.0
-91.58120731285955,98.99660162187783,3.0,49.0
0.6603008594834828,-135.35372848444345,3.0,49.0
91.27091147713006,100.61285866905034,3.0,49.0
-135.74242187176685,-12.580577148903329,3.0,49.0
108.96853794654525,-82.7032352837473,3.0,49.0
-24.56868262385084,135.05120750299375,3.0,49.0
-73.35617931632753,-116.57030646353769,3.0,49.0
133.27376864244056,36.52481462559805,3.0,49.0
-123.34617744892724,63.29922177409767,3.0,49.0
48.34891024798003,-130.41288377808488,3.0,49.0
52.608185000348975,129.23069690050426,3.0,49.0
-126.48042942526472,-59.94143586432837,3.0,49.0
134.16548157355513,-41.36465190966434,3.0,49.0
-71.20418172426783,121.4973126489692,3.0,49.0
-29.655331703671813,-138.0997078355966,3.0,49.0
115.49333285477726,82.04105381173544,3.0,49.0
-140.9905459462189,17.57138020823046,3.0,49.0
92.35885551970557,-108.50697313368245,3.0,49.0
5.207680431089482,142.80353506290123,3.0,49.0
-100.58512213851598,-102.06805201542844,3.0,49.0
143.51289496777807,7.337910802196129,3.0,49.0
-111.08351047338806,91.78272812591213,3.0,49.0
19.965344039135424,-143.1017711773398,3.0,49.0
82.16238742059467,119.32520966164068,3.0,49.0
-141.56241074936403,-32.57317991752768,3.0,49.0
126.71891269306926,-71.7938701490064,3.0,49.0
-45.05940694169203,138.896266745875,3.0,49.0
-60.753586646375076,-133.19679710399402,3.0,49.0
135.11402995095654,57.32226772683435,3.0,49.0
-138.6980368030189,49.12399846339127,3.0,49.0
69.26108704437792,-130.2355870785773,3.0,49.0
36.99297838408864,143.1693308446484,3.0,49.0
-124.28990533749115,-80.77709497383256,3.0,49.0
146.5653744256969,-24.453124312485844,3.0,49.0
-91.77423849056379,117.31484384567904,3.0,49.0
-11.601032289873338,-148.84926797669368,3.0,49.0
109.35689300300871,102.1599748940378,3.0,49.0
-149.99286072357498,-1.4634657352453484,3.0,49.0
111.84604060802347,-100.4708435344606,3.0,49.0
-14.638093448938681,149.97702562433227,3.0,49.0
-90.71938750390753,-120.74918906220077,3.0,49.0
148.79186313779442,27.81894482460434,3.0,49.0
-128.7918915929249,80.17265416599213,3.0,49.0
40.90131547148369,-146.43683185375926,3.0,49.0
68.90768406759712,135.90299557764067,3.0,49.0
-142.92080460128935,-53.780544100933454,3.0,49.0
142.01833434111253,-57.00784532653546,3.0,49.0
-66.35285742307366,138.26204925094316,3.0,49.0
-44.562196499849186,-147.08128373960733,3.0,49.0
132.48813403259294,78.51621173092082,3.0,49.0
-151.0432607388279,31.66480090377562,3.0,49.0
90.17112442809898,-125.63575779869919,3.0,49.0
18.41399765856855,153.8641597496235,3.0,49.0
-117.75050626890221,-101.22148880956114,3.0,49.0
155.51272296884642,-4.911635100915848,3.0,49.0
-111.57536551240264,108.88653589068166,3.0,49.0
8.737727468591709,-155.9668414875425,3.0,49.0
99.10618753821261,121.1457442145363,3.0,49.0
